Year,Month,Station_Code,Station_Name,Latitude,Longitude,LST
2013,9,416,은평,37.64647,126.94273,30.87240684405225
2013,9,417,금천,37.46551,126.90016,36.44698020896806
2013,9,418,한강,37.52489,126.93904,32.51500834532851
2013,9,419,중구,37.55236,126.98736,27.089543787502237
2013,9,421,성동,37.54721,127.03885,33.334084771061214
2013,9,422,북악산,37.60344,126.98437,28.3368732361389
2013,9,423,구로,37.49328,126.82629,37.57550926240236
2013,9,424,강북,37.63801,127.00981,33.26341095907577
2013,9,425,남현,37.46347,126.98154,32.24426866682143
2013,9,509,관악,37.45284,126.95015,29.311814677189318
2013,9,510,영등포,37.52706,126.90705,37.370908128729866
2013,9,889,현충원,37.50036,126.97652,33.1232434571798
2022,4,400,강남,37.4982,127.08162,27.73759800133365
2022,4,401,서초,37.48462,127.02601,23.277018502017768
2022,4,402,강동,37.55556,127.14498,32.321081742924605
2022,4,403,송파,37.51151,127.0967,33.135430679533556
2022,4,404,강서,37.5739,126.82953,23.767111599136854
2022,4,405,양천,37.52823,126.87937,25.71397400994715
2022,4,406,도봉,37.66557,127.03042,21.630269647447847
2022,4,407,노원,37.62186,127.09192,29.8015295701407
2022,4,408,동대문,37.58463,127.06036,22.650810564622816
2022,4,409,중랑,37.58551,127.08682,29.89765524232564
2022,4,410,기상청,37.4933,126.91746,21.954219144057163
2022,4,411,마포,37.55165,126.92915,21.392439980461518
2022,4,412,서대문,37.57047,126.94078,18.83117375550779
2022,4,413,광진,37.53344,127.08601,29.01647398979867
2022,4,414,성북,37.61134,126.99981,22.575704298644837
2022,4,415,용산,37.51955,126.97629,24.888597128666163
2022,4,416,은평,37.64647,126.94273,21.528648810590596
2022,4,417,금천,37.46551,126.90016,23.7486629997544
2022,4,418,한강,37.52489,126.93904,20.85215566377525
2022,4,419,중구,37.55236,126.98736,17.25399008538494
2022,4,421,성동,37.54721,127.03885,22.537553869719375
2022,4,422,북악산,37.60344,126.98437,19.668311704564474
2022,4,423,구로,37.49328,126.82629,26.176402359412236
2022,4,424,강북,37.63801,127.00981,21.51743838477904
2022,4,425,남현,37.46347,126.98154,22.158439388087345
2022,4,509,관악,37.45284,126.95015,18.048217434035735
2022,4,510,영등포,37.52706,126.90705,23.271529039843017
2022,4,889,현충원,37.50036,126.97652,22.220218373596197
2019,2,400,강남,37.4982,127.08162,10.860916897327115
2019,2,401,서초,37.48462,127.02601,10.495154619852542
2019,2,402,강동,37.55556,127.14498,8.14104241086875
2019,2,403,송파,37.51151,127.0967,11.961855804642596
2019,2,404,강서,37.5739,126.82953,11.319740163705774
2019,2,405,양천,37.52823,126.87937,12.430219678728804
2019,2,406,도봉,37.66557,127.03042,8.526281005359579
2019,2,407,노원,37.62186,127.09192,9.885854653776562
2019,2,408,동대문,37.58463,127.06036,9.140571597440498
2019,2,409,중랑,37.58551,127.08682,9.827729673437034
2019,2,410,기상청,37.4933,126.91746,8.89968782115551
2019,2,411,마포,37.55165,126.92915,8.382310870840513
2019,2,412,서대문,37.57047,126.94078,7.308243649956864
2019,2,413,광진,37.53344,127.08601,9.422105763303819
2019,2,414,성북,37.61134,126.99981,9.420685420381403
2019,2,415,용산,37.51955,126.97629,9.74783625603203
2019,2,416,은평,37.64647,126.94273,6.764801901908982
2019,2,417,금천,37.46551,126.90016,9.795763458725162
2019,2,418,한강,37.52489,126.93904,8.657211672936967
2019,2,419,중구,37.55236,126.98736,5.0462717453251
2019,2,421,성동,37.54721,127.03885,8.614720354783003
2019,2,422,북악산,37.60344,126.98437,5.527840326418698
2019,2,423,구로,37.49328,126.82629,11.819339167644216
2019,2,424,강북,37.63801,127.00981,8.479854652912536
2019,2,425,남현,37.46347,126.98154,9.280749155262185
2019,2,509,관악,37.45284,126.95015,6.319832093661262
2019,2,510,영등포,37.52706,126.90705,9.64483796939436
2019,2,889,현충원,37.50036,126.97652,8.51655408687725
2022,5,400,강남,37.4982,127.08162,34.606415730247306
2022,5,401,서초,37.48462,127.02601,30.02963416375951
2022,5,402,강동,37.55556,127.14498,26.536884484877987
2022,5,403,송파,37.51151,127.0967,38.11785946863006
2022,5,404,강서,37.5739,126.82953,33.116306778188175
2022,5,405,양천,37.52823,126.87937,36.67805164816207
2022,5,406,도봉,37.66557,127.03042,29.346971110419815
2022,5,407,노원,37.62186,127.09192,34.36575165821216
2022,5,408,동대문,37.58463,127.06036,33.00846637974712
2022,5,409,중랑,37.58551,127.08682,36.584463398067044
2022,5,410,기상청,37.4933,126.91746,32.02880693387061
2022,5,411,마포,37.55165,126.92915,29.406119733534922
2022,5,412,서대문,37.57047,126.94078,27.391645430320295
2022,5,413,광진,37.53344,127.08601,33.59696357557465
2022,5,414,성북,37.61134,126.99981,27.37244103012216
2022,5,415,용산,37.51955,126.97629,36.415540618470686
2022,5,416,은평,37.64647,126.94273,30.75943783766121
2022,5,417,금천,37.46551,126.90016,35.23393449682487
2022,5,418,한강,37.52489,126.93904,31.30835923690063
2022,5,419,중구,37.55236,126.98736,22.57487869215214
2022,5,421,성동,37.54721,127.03885,32.288287660392484
2022,5,422,북악산,37.60344,126.98437,21.52543704278588
2022,5,423,구로,37.49328,126.82629,36.1879793371254
2022,5,424,강북,37.63801,127.00981,27.35790515261914
2022,5,425,남현,37.46347,126.98154,30.90154465321376
2022,5,509,관악,37.45284,126.95015,27.855894185663317
2022,5,510,영등포,37.52706,126.90705,35.34661548426459
